DATAFLOW,LAST UPDATE,freq,nutrient,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2017,27928,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2018,21426,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,CZ,2019,23708,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2008,236000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2009,246000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2010,268000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2011,295000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2012,298000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2013,335213,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2014,334431,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2015,344690,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2016,350035,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2017,354988,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2018,329184,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,CZ,2019,334453,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2008,11000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2009,14000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2010,18000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2011,15000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2012,19000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2013,17784,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2014,17410,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2015,17963,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2016,23173,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2017,22970,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2018,22637,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,CZ,2019,23470,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2008,148000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2009,301000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2010,360000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2011,320000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2012,331000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2013,379653,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2014,381627,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2015,333876,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2016,335121,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2017,343344,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2018,336779,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DE,2019,343080,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2008,1551000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2009,1569000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2010,1785000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2011,1640000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2012,1600000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2013,1675110,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2014,1822099,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2015,1558502,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2016,1563802,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2017,1520702,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2018,1315010,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,N,T,DE,2019,1344325,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2008,76000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2009,103000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2010,125000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2011,108000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2012,100000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2013,124022,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2014,131587,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2015,103454,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2016,103803,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2017,95117,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2018,92133,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,P,T,DE,2019,92194,p
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2008,27000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2009,42000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2010,40000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2011,39000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2012,39000,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2013,51436,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2014,52971,
ESTAT:TAI01(1.0),08/02/21 23:00:00,A,K,T,DK,2015,52917,
